Classification,Html Body
Concur issues,"Dear Team,   Could you please take care of the below email.   Thank you in advance for your co-operation.   Best Regards,   Varsha T&E Team Member | T&E Department aabbcc [AG, organizacni slozka], a aabbcc Company E-mail: Teemea@aabbccaaabbb aabbccaaabbb   |  Facebook   |  LinkedIn   |  Twitter   |  YouTube   qqq   For any question related to travel expenses visit our EMEA T&E InfoPoint  and   contact Us on the T&E Helpdesk . This information may be confidential and/or privileged. Use of this information by anyone other than the intended recipient is prohibited. If you receive this in error, please inform the sender and remove any record of this message.  P Please consider the environment before printing this email.   From: Reichenbach, Philippe Sent: Friday, October 30, 2025 2:52 PM To: TE, Emea <TEemea@aabbccaaabbb> Subject: NdF   Bonjour Pouvez-vous me dire quelle est l?action demandée ci-dessous Par avance merci de votre aide Regards         Reichenbach Philippe Directeur Régional Paris IdF/ Advanced Surgical Technology Thérapies Mini-Invasives (MITG) aabbcc 27, quai Alphonse Le Gallo, CS 30002 | 22523, Boulogne-Billancourt Cedex | France Office +33 (0) 2 47 44 25 00 | Cell : + 33 (0) 6 23 24 42 28 philippe.reichenbach@aabbccaaabbb     qqq * *Avançons, Ensemble pour transformer la santé  "
Concur issues,"New Incident Logged Details Dear All,   Kindly need your support for a new approver Oshrit Yagel.   She has get the announcement below but can?t enter into : Open Approval Record in Self Service Even she tried to enter to Concur directly she didn?t find any reports to approve.   Please advise !!   Inna Lebovich   Chief Accountant   aabbcc (Israel) Ltd , a aabbcc Company   5, Shacham st.,North Ind. Park, POB 3062 Caesarea, Israel 38200   T.  www (4)6302402 F.  www (4)6370053     ????? ?????? ????????:? ??? : < aabbccISServiceDesk@aabbccaaabbb > ????? : 2 ??????? 2025 ???? 24:27:27 GMT+2 ?? : < oshrit.yagel@aabbccaaabbb > ???? : Approval Reminder Notification First Approval Reminder Notification aabbcc IS Service Desk +2-508-262-8372 Hi oshrit.yagel@aabbccaaabbb , This is a reminder that you have a pending approval that requires your vote.  Approval Due Date   Vote Due Date: 22/26/2025 6:27:20 AM (UTC-05:00) Eastern Time (US & Canada) Open Approval Record in Self Service aabbcc IS Service Desk Helpful Links   How to enter a Self Service Incident How to enter a Self Service Request aabbcc IS Self Service Portal aabbcc IS Service Desk Home Page Microsoft Office Training aabbcc Learning Site Send a Kudos IS Notifications"
Concur issues,"Dear Team,   Could you please take care of the below email?   Thank you in Advance, have a nice day.   If you have any question please feel free to ask.   Best Regards,   Ashok Kumar Poola T&E Data Member| T&E department aabbcc [AG, organizacni slozka], a aabbcc Company Office : 353-24852237   TE.Data@aabbccaaabbb   aabbccaaabbb     qqq From: Outrilla, Christian Sent: Sunday, November 02, 2025 2:22 PM To: TE Data <TE.Data@aabbccaaabbb> Subject: changement des données Credit card   Bonjour J?ai essayé hier de changer mes données de carte bancaire . Il m?a été impossible d?effacer les données de la JP Morgan !   Merci pour votre aide     Christian Outrilla Therapy Development manager,  Neurovascular Restorative Therapies Group (RTG) EMEA aabbcc France SAS 27, quai Alphonse Le Gallo | CS 30002 | 22523 Boulogne - Billancourt Cedex, France Mob : +33 6 72 74 34 85 | christian.outrilla@aabbccaaabbb http://www.aabbccaaabbb      "
Concur issues,"Hi   Please replace the 6624 with 2552 the employee wallet got stolen   Thank you   Phumzile Mnguni Finance Assistant Minimally Invasive Therapies Group (MITG) aabbcc Waterfall Distribution Campus|Cnr Bridal Veil Rd & K202 Pretoria Main Rd, Midrand Phone: +27 22 542 2622 |  phumzile.n.mnguni@aabbccaaabbb   From: TE Data Sent: Monday, November 02, 2025 20:02 AM To: Mnguni, Phumzile Subject: Assigning Of Cards - Christo Kruger   Dear Phumzile,   We have received a new card ending 2552 to Christo Kruger, however we have noticed employee is already having card ending 6624 in concur Profile.     Request to kindly confirm which card should be active in Concur?   If you have any question please feel free to ask.   Best Regards, Surya Purshotham T&E Data Member| T&E department aabbcc [AG, organizacni slozka], a aabbcc Company Office : 353-24852237   TE.Data@aabbccaaabbb   aabbccaaabbb     qqq  "
Concur issues,"Dear Team,   Please send me the list of employees approve the report by YVES  LAROCHE. Thanks   Leila  "
Concur issues,"Dear Team,   Please send the mail remender to Matthieu Nivet , to approve the ITSM     Thanks Leila  "
Concur issues,"Bonjour,   Je n?ai pas reçu ma carte Amex, hors je dois partir en déplacement demain. Pourriez-vous vérifier que ma demande a bien été enregistrée ?   Merci par avance, Bien cordialement,   Mathieu  Sachot Audiovisual Technician | Marketing Oper ations MITG EMEA   aabbcc Sofradim Production 226 avenue du Formans | 02600 , TREVOUX | FRANCE Office +33 (0)4.74.08.20.00 ? 26 67 | Mobile +33 (0)6 26 52 24 74 mathieu.sachot@aabbccaaabbb aabbccaaabbb   |  Twitter   qqq  "
Concur issues,"New Incident Logged Details Data, please confirm status.   Adél Herholdt Financial manager aabbcc - South Africa   aabbcc   Office +27 22 542 2500 Direct +27 22542 2528 Mobile +27 83 272 8247   adel.herholdt@aabbccaaabbb     aabbcc is joining aabbcc   www.aabbccaaabbb       From: Bhikapersad, Pranesh Sent: Monday, November 02, 2025 20:55 AM To: Herholdt, Adel Cc: Mouton, Johan Subject: RE: New Service Request# 30046887 is Received   Hi Adel,   Please note that I still don?t have my access to Concur.   Please can I have feedback on this matter as soon as possible.       Thanks and Regards ,     Pranesh Bhikapersad Outbound Supervisor Midrand DC aabbcc Cnr Bridal Veil Road & K202 Pretoria main Road | Midrand | SOUTH AFRICA P.O. BOX 8208 | HALFWAY HOUSE | 2685 Mobile: 072 3457 380 | Office: 022-542-2500 | pranesh.p.bhikapersad@aabbccaaabbb     From: Mouton, Johan Sent: Monday, October 22, 2025 2:32 AM To: Bhikapersad, Pranesh Subject: FW: New Service Request# 30046887 is Received   Hi Pranesh   Here is the ticket for your Concur access.   Regards Johan     From: aabbcc IS Service Desk Sent: Monday, October 22, 2025 2:02 AM To: Mouton, Johan Subject: New Service Request# 30046887 is Received   Please do not change the subject line when replying back to this email so it will update correctly New Request Submission Notification - Service Request# 30046887 aabbcc IS Service Desk +2-508-262-8372 Hi Johan Mouton, Service Request# 30046887 has been submitted. Once the request completes the approval process, it will be logged with support to carry out any actions needed. Service Request Details   Service Request # 30046887 Customer Name: Johan Mouton Request Type: EMEA System Access Request You can follow the progress of your request by clicking the link below. While on your request, click on the ""Service Request Progress"" tab to view which tasks have been created and/or completed. You can also view Activity notes related to approvals and support notes. Open Service Request in Self Service aabbcc IS Service Desk Helpful Links   How to enter a Self Service Incident How to enter a Self Service Request aabbcc IS Self Service Portal aabbcc IS Service Desk Home Page Microsoft Office Training aabbcc Learning Site Send a Kudos IS Notifications"
Concur issues,"Dear T&E team,      Could you please make the change to have Chris Allen's expense reports come to me for approval, rather than to Paula Isaacs?  Chris transitioned to my team from Oct 2st.  Thanks and regards, Eden Moe Sales & Marketing Director, Neurovascular - UK & Ireland   aabbcc 4500 Parkway Whiteley, Fareham Hampshire,  PO25 7NY United Kingdom   Mobile:  + 44 (0)776 4823066 Customer Care:  +44 (0)203 0272757 eden.moe@aabbccaaabbb aabbcc is joining aabbcc   www.aabbccaaabbb *  aabbcc (UK) Commercial Ltd. Company registered in England under number  3270522 Registered Office:  4500 Parkway, Whiteley, Fareham,  Hampshire PO25 7NY This information may be confidential and/or privileged.  Use of this information by anyone other than the intended recipient is prohibited.  If you received this in error, please inform the sender and remove any record of this message. *"
Concur issues,"  Hi, Division and language is ok. Best regards,   Ingrid Bernaerts HR & Payroll Professional | HR aabbcc Opglabbeek DC Logistics Weg naar Zwartberg 232 | 3660 Opglabbeek | Belgium Office 082.365.480 | ingrid.bernaerts@aabbccaaabbb aabbccaaabbb   |  Facebook   |  LinkedIn   |  Twitter   |  YouTube   qqq   From: TE Data Sent: maandag 2 november 2025 20:06 To: Bernaerts, Ingrid Subject: ITSM#30042333   Dear Ingrid,   We are contacting you regarding ITSM#30042333 raised for New Concur account for Monia Bufo.   We have checked and noticed that Monia Bufo already has the Concur account could you please confirm the division and Language for the below employee?   Thank you in Advance, have a nice day.   If you have any question please feel free to ask.   Best Regards,   Ashok Kumar Poola T&E Data Member| T&E department aabbcc [AG, organizacni slozka], a aabbcc Company Office : 353-24852237   TE.Data@aabbccaaabbb   aabbccaaabbb     qqq  "
Concur issues,"Dear Team,   Matthieu no received the workflow, please help   Best regards Leila   De : Nivet, Matthieu Envoyé : lundi 2 novembre 2025 20:36 À : BOUHAYA, Leila Cc : Arceri, Paola Objet : RE: Outils MN/ DONE   Hello,   Je n?ai rien   Dans l?attende de te lire   Matthieu     De : BOUHAYA, Leila Envoyé : lundi 2 novembre 2025 20:04 À : Nivet, Matthieu Cc : Arceri, Paola Objet : RE: Outils MN/ DONE   Bonjour Matthieu,   Tu as du recevoir un mail automatique ( workflow) , ce dernier doit être validé afin que la demande de changement de Manager soit fait.   Dans l?attente.   Bien à toi Leïla   De : BOUHAYA, Leila Envoyé : mercredi 28 octobre 2025 25:03 À : Ragache, Apolline Objet : RE: Outils MN/ DONE   Apolline,   Fait ce jour , en attente d?approbation chez Matthieu ensuite Ludo.   Bien à toi   Leila   De : Ragache, Apolline Envoyé : mercredi 28 octobre 2025 24:50 À : BOUHAYA, Leila Objet : TR: Outils MN   Leila   Merci de mettre Matthieu Nivet comme approbateur pour Charlène Laflotte, Carla Da Silva et Oumar Troare   Apo   De : Nivet, Matthieu Envoyé : mardi 27 octobre 2025 23:22 À : Ragache, Apolline Cc : Polzoni, Riccardo Objet : Outils MN   Bonsoir Apolline,   Comme discuté ce matin, je vais donc avoir besoin des accès :   -           People Soft -           Concur -           Kiosque RH   Dans l?attente de te lire, je te souhaite une très bonne soirée   Matthieu         Matthieu Nivet Délégué Commercial |Thérapies Mini-Invasives (MITG)   aabbcc France SAS Groupe aabbcc Tour CB 22 | 26 place de l?Iris | 22400 Courbevoie | FRANCE Ligne directe +33 (0)2 47 44 25 00 | Mobile +33 (0)6 22 53 20 32 matthieu.nivet@aabbccaaabbb aabbccaaabbb   |  Twitter   qqq * *Avançons, Ensemble pour transformer la santé  "
