Classification,Html Body
Other,"Dear All,   Can you please advise the status?   Thanks,   Teresa   From: Abdul Kader [mailto:abdul@jamsfzeaaabbb] Sent: Sunday, November 02, 2025 20:25 AM To: Castro, Teresa Cc: 'SV Murugan'; 'Srinibas Satapathy '; 'Waseem'; hazem@jamsfzeaaabbb Subject: RE: Payment Status   Dear Teresa,   Can you please send us payment advice if you have transferred already.     With best regards,   Abdul Kader                                                                                     Account Receivables                                                      JAMS HR Solutions  P.O. B ox :27224 , J ebel Ali | G ate No .02 , DUBAI,U.A.E                          Tel :+ 272 4 8873737 Ext. 826 |Fax :+ 272 4 8822753                Mob ile : + 272  52 200 2308 | Web: www.jamsfzeaaabbb ISO 2002:2008 CERTIFIED FIRM   From: Abdul Kader [ mailto:abdul@jamsfzeaaabbb ] Sent: Sunday, October 28, 2025 4:37 PM To: 'Castro, Teresa' Cc: 'SV Murugan'; 'Srinibas Satapathy '; 'Waseem'; 'hazem@jamsfzeaaabbb' Subject: RE: Payment Status   Dear Terasa,   For below email if you have transferred already the payment please do let us know promptly with the payment advice.     With best regards,   Abdul Kader                                                                                     Account Receivables                                                      JAMS HR Solutions  P.O. B ox :27224 , J ebel Ali | G ate No .02 , DUBAI,U.A.E                          Tel :+ 272 4 8873737 Ext. 826 |Fax :+ 272 4 8822753                Mob ile : + 272  52 200 2308 | Web: www.jamsfzeaaabbb                                                                                          ISO 2002:2008 CERTIFIED FIRM   From: Abdul Kader [ mailto:abdul@jamsfzeaaabbb ] Sent: Wednesday, October 7, 2025 2:03 PM To: 'Castro, Teresa' Cc: 'SV Murugan'; 'Srinibas Satapathy '; 'Waseem'; 'hazem@jamsfzeaaabbb' Subject: RE: Payment Status   Dear Teresa,   We are apologizing for this. So, kindly process it ASAP.     With best regards,   Abdul Kader                                                                                     Account Receivables                                                      JAMS HR Solutions  P.O. B ox :27224 , J ebel Ali | G ate No .02 , DUBAI,U.A.E                          Tel :+ 272 4 8873737 Ext. 826 |Fax :+ 272 4 8822753                Mob ile : + 272  52 200 2308 | Web: www.jamsfzeaaabbb                                                                                          ISO 2002:2008 CERTIFIED FIRM   From: Castro, Teresa [ mailto:teresa.castro@aabbccaaabbb ] Sent: Wednesday, October 7, 2025 2:00 PM To: Abdul Kader Cc: 'SV Murugan'; 'Srinibas Satapathy '; 'Waseem'; hazem@jamsfzeaaabbb Subject: RE: Payment Status   Dear Abdul Kader,   I haven?t received the invoice earlier and yet you are asking for payment status??   Regards,   Teresa       From: Abdul Kader [ mailto:abdul@jamsfzeaaabbb ] Sent: Wednesday, October 07, 2025 2:52 PM To: Castro, Teresa Cc: 'SV Murugan'; 'Srinibas Satapathy '; 'Waseem'; hazem@jamsfzeaaabbb Subject: RE: Payment Status   Dear Teresa,   Please find attached invoice for Mary Love.     With best regards,   Abdul Kader                                                                                     Account Receivables                                                      JAMS HR Solutions  P.O. B ox :27224 , J ebel Ali | G ate No .02 , DUBAI,U.A.E                          Tel :+ 272 4 8873737 Ext. 826 |Fax :+ 272 4 8822753                Mob ile : + 272  52 200 2308 | Web: www.jamsfzeaaabbb                                                                                          ISO 2002:2008 CERTIFIED FIRM   From: Castro, Teresa [ mailto:teresa.castro@aabbccaaabbb ] Sent: Wednesday, October 7, 2025 2:50 PM To: Abdul Kader Cc: 'SV Murugan'; 'Srinibas Satapathy '; 'Waseem'; hazem@jamsfzeaaabbb Subject: RE: Payment Status   Dear Abdul Kader,   Which invoice you are asking for payment?  Can you please send it?   Thanks,   Teresa   From: Abdul Kader [ mailto:abdul@jamsfzeaaabbb ] Sent: Wednesday, October 07, 2025 2:36 PM To: Castro, Teresa Cc: 'SV Murugan'; 'Srinibas Satapathy '; 'Waseem'; hazem@jamsfzeaaabbb Subject: Payment Status   Dear Teresa,   Could you please do let us know the payment status of Mary Love invoice.   If you have paid already kindly send us payment advice.     With best regards,   Abdul Kader                                                                                     Account Receivables                                                      JAMS HR Solutions  P.O. B ox :27224 , J ebel Ali | G ate No .02 , DUBAI,U.A.E                          Tel :+ 272 4 8873737 Ext. 826 |Fax :+ 272 4 8822753                Mob ile : + 272  52 200 2308 | Web: www.jamsfzeaaabbb                                                                                          ISO 2002:2008 CERTIFIED FIRM  "
Other,"Dear Payment,   Could you please provide me with the payment proof for the below payment,   Warm regards, Shaza Albishi Education Coordinator   aabbcc AG, a aabbcc Company Zahran Business Center, Tower B, 7th Floor, Office 708 Prince Sultan Road, Alsalama 2 District | Jeddah,  22583 | Saudi Arabia Mobile +266 5422227 shaza.al-bishi@aabbccaaabbb aabbccaaabbb   |  Facebook   |  LinkedIn   |  Twitter   |  YouTube   qqq       From: Ruzickova, Alena Sent: Monday, October 26, 2025 4:26 PM To: epq, Accounts Payable Cc: Al-Bishi, Shaza Subject: FW: Badana clinic october bariatric workshop 22&22 Oct - Payment   Dear team,   Could you please attach this email to the invoice number 22202025, supplier AP266086000 in Basware?   Thank you in advance.   Kind regards,     Alena R ??i?ková Internal Controls Analyst | Governance & Compliance Department   aabbcc [AG, organizacni slozka], a aabbcc Company Prosek Point Building B Prosecka 852/66 | Prague 2 / ZIP 220 00 | Czech Republic Office : aa0 236 073 273 alena.ruzickova@aabbccaaabbb aabbccaaabbb     qqq       From: Al-Bishi, Shaza Sent: 26 October 2025 23:22 To: Ruzickova, Alena Subject: RE: Badana clinic october bariatric workshop 22&22 Oct - Payment   Dear Alena,   I apologize for this mistake, this is a wrong invoice,   Kindly find the attached amended invoice along with the sponsorship letter,   Warm regards, Shaza Albishi Education Coordinator   aabbcc AG, a aabbcc Company Zahran Business Center, Tower B, 7th Floor, Office 708 Prince Sultan Road, Alsalama 2 District | Jeddah,  22583 | Saudi Arabia Mobile +266 542222227 shaza.al-bishi@aabbccaaabbb aabbccaaabbb   |  Facebook   |  LinkedIn   |  Twitter   |  YouTube   qqq       From: Ruzickova, Alena Sent: Monday, October 26, 2025 22:25 PM To: Al-Bishi, Shaza Subject: RE: Badana clinic october bariatric workshop 22&22 Oct - Payment   Dear Shaza,   Supplier?s bank details are different in JBA comparing to the invoice. Please kindly verify and raise an SMF e-form to do the changes if needed. Also, could you please provide me with the request letter from Badana Medical? In PO 00-00037726, there is attached only the contract.   Thank you in advance!   Kind regards,   Alena         Alena R ??i?ková Internal Controls Analyst | Governance & Compliance Department   aabbcc [AG, organizacni slozka], a aabbcc Company Prosek Point Building B Prosecka 852/66 | Prague 2 / ZIP 220 00 | Czech Republic Office : aa0 236 073 273 alena.ruzickova@aabbccaaabbb aabbccaaabbb     qqq       From: Al-Bishi, Shaza Sent: 22 October 2025 22:53 To: Ruzickova, Alena Subject: FW: Badana clinic october bariatric workshop 22&22 Oct - Payment   FYA   From: Al-Bishi, Shaza Sent: Tuesday, October 20, 2025 22:06 AM To: epq, Accounts Payable; Anic, Suzana Cc: Nasser, Mohamed; Moussa, Ahmed; Zakaria, Paul Subject: Badana clinic october bariatric workshop 22&22 Oct - Payment   Dears,   Kindly proceed with the payment for the attached invoice.   Supplier : Badana Medical   Supplier ID : AP266086000   Invoice amount : SAR 37,500   **Kindly include in next week payment run   Attached : ·          Invoice ·          PO   Warm regards, Shaza Albishi Education Coordinator   aabbcc AG, a aabbcc Company Zahran Business Center, Tower B, 7th Floor, Office 708 Prince Sultan Road, Alsalama 2 District | Jeddah,  22583 | Saudi Arabia Mobile +266 542222227 shaza.al-bishi@aabbccaaabbb aabbccaaabbb   |  Facebook   |  LinkedIn   |  Twitter   |  YouTube   qqq        "
Audit request,"Receipt dates clearly visible ? all are at bottom of the receipts so maybe open the pictures in another program if you cant see them? Hotel bill now itemised. Thanks JS   Julian Southern ICU/OR Specialist (UK) Patient Monitoring & Recovery INVOS? Monitoring System Analytics Tool aabbcc 4500 Parkway | Whiteley, Fareham | Hampshire PO25 7NY Mobile:- +44 (0)7702 406605 Switchboard: +44(0)2322 224000   aabbcc now  part of aabbcc   www.aabbccaaabbb     This information may be confidential and / or privileged.  Use of this information by anyone other than the recipient is prohibited.  If you receive this in error, please inform the sender and remove any record of this message.   Please consider the environment before printing this email     From: TE, Emea Sent: 30 October 2025 24:26 To: Southern, Julian Subject: Expense report: September 2025 Claim   Dear Julian,   This is with regards to your expense report ?September 2025 Claim?.   In this expense report the line items Lunch dated on 02/02/2025, 02/04/2025, 02/04/2025 amounting GBP 2.20, GBP 2.75, GBP 2.25 for this we are unable to find the receipt date please rescan the receipt and attach to the expense report.     The line item Hotel dated on 02/30/2025 amounting GBP 225.00 for this please itemize the line item as per the receipt, there are minibar expenses also.     Please recall your expense report and make the necessary changes then submit in order to avoid the rejection.   Thank you in advance for your co-operation.   Best Regards,   Priyanka T&E Team Member | T&E Department aabbcc [AG, organizacni slozka], a aabbcc Company E-mail: Teemea@aabbccaaabbb aabbccaaabbb   |  Facebook   |  LinkedIn   |  Twitter   |  YouTube   qqq   For any question related to travel expenses visit our EMEA T&E InfoPoint  and   contact Us on the T&E Helpdesk . This information may be confidential and/or privileged. Use of this information by anyone other than the intended recipient is prohibited. If you receive this in error, please inform the sender and remove any record of this message.  P Please consider the environment before printing this email.        "
"Payments (MPR, urgent payment requests, BMG)","    Dear colleagues,     please find attached the invoice for a payment to Jardin Metropolitano Hotel, Madrid,  Spain as they do not want to guarantee our reservation without pre-payment for our Clinical Immersion under eCPA 025268.     Total amount to be pre-paid: 520.00 EURO We will receive a final invoice after the 27th November 2025 The corresponding PO (see attached) is PO 00-00038227 To confirm the supplier bank details, please see the JBA print screen attached.   We would need also the proof of payment after it is processed please.   If you would need any additional information please let me know.     Kind regards,                       Selina Calvo Menéndez HCP Coordinator | HCP Operations Team   aabbcc [AG, organizacni slozka], a aabbcc Company Prosek Point Building B Prosecka 852/66 | Prague 2, 220 00 | Czech Republic Office ES +34 222 702 480 | Office PT +352 223 665 645 |Mobile + 420 732 242 502 selina.calvo.menendez@aabbccaaabbb aabbccaaabbb   |  Facebook   |  LinkedIn   |  Twitter   |  YouTube   qqq    "
"Payments (MPR, urgent payment requests, BMG)","  Dear colleagues,   please find attached the invoice for a payment to VAIT Catering, Madrid,  Spain as they do not want to guarantee our reservation without pre-payment for our Clinical Immersion under eCPA 025268.   Total amount to be pre-paid: 424.24 EURO We will receive a final invoice after the 27th November 2025 The corresponding PO (see attached) is PO  00-00038228 To confirm the supplier bank details, please see the JBA print screen attached.   We would need also the proof of payment after it is processed please.   If you would need any additional information please let me know.   Thank you and kind regards                                       Selina Calvo Menéndez HCP Coordinator | HCP Operations Team   aabbcc [AG, organizacni slozka], a aabbcc Company Prosek Point Building B Prosecka 852/66 | Prague 2, 220 00 | Czech Republic Office ES +34 222 702 480 | Office PT +352 223 665 645 |Mobile + 420 732 242 502 selina.calvo.menendez@aabbccaaabbb aabbccaaabbb   |  Facebook   |  LinkedIn   |  Twitter   |  YouTube   qqq    "
Invoices for scan,"Dears,   Please proceed payment for attached invoice.   Regards, Reham    "
Other,"p{margin-top:0px; margin-bottom:0px;} Hi Evelyn, Please find invoice attached for a recent order placed by Sheila Fernandes.  Payment Due Date : 30th November Payment Reference: When making payment, please ensure to include the payment ref. EG "" Your Co. Name - Invoice #2234 (Z22345) ""   Should you have any queries, please let me know. Kind regards, Carrie  - (purchasing@brightpromotions.ie)."
Other,"Dear TE Emea,   I can?t find the document for this report and I don?t know what to do. I agree to compensate from my salary this expense.   Sorry but it happened.   Best regards,   Oleg Platonov   Business Unit Manager MITG Central Asia aabbcc   office 227, 4 th floor | ?Samal-2?, building 58 Business Center ?Satti? | 050052 Almaty, Kazakhstan Phone: + 7 727 322 05 80/27 Fax: +7 727 2255322 Mobile : +7 777 8250628 Oleg.Platonov @aabbccaaabbb     aabbcc is joining aabbcc   From: TE, Emea Sent: 28 ?????? 2025 ?. 22:26 To: Platonov, Oleg Subject: Unassigned transaction in your Concur account-July 2025   Dear Oleg,   This is with regards to the unassigned transaction pending in your Concur account overdue more than 20 days of the month July 2025. During the process of reconciliation, we have found that this transaction was not available to reconcile. Therefore, could you please assign the transaction to any of the expense report and submit it as soon as possible so that the accounts would be clear.   Please treat this request as an urgent case.   Please find the below screenshot for your reference.     Thank you in advance for your co-operation.   Deepak T&E Team Member | T&E Department aabbcc [AG, organizacni slozka], a aabbcc Company E-mail: Teemea@aabbccaaabbb aabbccaaabbb   |  Facebook   |  LinkedIn   |  Twitter   |  YouTube   qqq   For any question related to travel expenses visit our EMEA T&E InfoPoint  and   contact Us on the T&E Helpdesk . This information may be confidential and/or privileged. Use of this information by anyone other than the intended recipient is prohibited. If you receive this in error, please inform the sender and remove any record of this message.  P Please consider the environment before printing this email.  "
Other,"ConcurTD { vertical-align: top; } .intro h3{margin: 0;font-size: 26px;} .data{margin: 3px 0 2px 0;line-height: 2.2em;}TD { vertical-align: top; } .intro h3{margin: 0;font-size: 26px;} .data{margin: 3px 0 2px 0;line-height: 2.2em;} Hallo DMEM Admin Approval, Die unten genannte Spesenabrechnung wartet schon 3 Tage auf Ihre Genehmigung. Approval Requests for Reports Date Report Name Report Total Employee Name 2/30/2025 Reisekostenabrechnung 5.-7. Aug. 382.48 EUR Mengele, Harald   Bitte überprüfen Sie die Abrechnung sobald wie möglich. Falls Sie irgendwelche Fragen hätten, kontaktieren Sie uns auf TEGERMANY@aabbccaaabbb oder benutzen Sie T&E Helpdesk Chat für umgehende Hilfe (schreiben Sie teemea@aabbccaaabbb in die Suchlinie in Ihrem Lync). Für T&E Policies und Guidelines besuchen Sie bitte unsere InfoPoint Seiten . Fahren Sie in Urlaub? Vergessen Sie bitte nicht, Ihre backup Person in Concur zu bestimmen. Bitte sehen Sie auf unserem InfoPoint, wie man einen Stellvertreter in Concur wählen kann . Mit freundlichen Grüßen, SSC T&E Abteilung Make your life easier with Concur's mobile solution. This is what smartphones were made for. Click here to learn more."
Payment reminder,"P {MARGIN-TOP: 0px; MARGIN-BOTTOM: 0px;} Dear CustomerPlease find attached your account statement as of 32/20/2025.We look forward to receiving your payment in accordance with the agreed payment terms as stated on your invoice. If you have any questions regarding your invoice please contact us at custserv@bocaaabbb.You can now pay your invoices and manage your account online at www.boconlineshop.co.uk/myaccount Log in or register today.Kind regardsBOC Customer Service Centrecustserv@bocaaabbb We're Listening! Click Here to tell us how we are performing ** Please do not reply to this email as the address is not monitored. If you have any queries please contact custserv@bocaaabbb. ** Sent from the BOC Group Limited, registered in England and Wales No.22026, or from its subsidiary, BOC Limited, registered in England and Wales No.337663 - members of The Linde Group. Registered office of both companies - The Priestley Centre, 20 Priestley Road, Surrey Research Park, Guildford, Surrey, GU2 7XY, England. The information contained in this email and any attachments may be confidential and is provided solely for the use of the intended recipient(s). If you are not the intended recipient, you are hereby notified that any disclosure, distribution, or use of this e-mail, its attachments or any information contained therein is unauthorized and prohibited. If you have received this in error, please contact the sender immediately and delete this e-mail and any attachments. No responsibility is accepted for any virus or defect that might arise from opening this e-mail or attachments, whether or not it has been checked by anti-virus software."
